user_id,ip_address,country,device_type,login_success,login_frequency,is_attack,hour_of_day,day_of_week,risk_score
employee71539,10.34.235.42,MX,Desktop-Windows,1,17,0,5,3,15
guest97129,10.70.82.46,AU,Mobile-iOS,1,9,0,1,6,0
user75049,75.234.136.117,KR,Desktop-Mac,1,6,0,6,0,30
contractor92228,10.221.53.69,ES,Desktop-Windows,1,15,0,6,1,15
employee82551,37.42.50.98,BR,Tablet-iOS,1,2,0,15,5,0
guest1212,10.219.255.222,SG,Mobile-iOS,1,12,0,11,5,0
user35122,56.71.182.69,RU,Tablet-Android,1,14,0,9,5,15
employee17957,10.90.96.183,IN,Desktop-Windows,1,14,0,6,6,15
user0546,43.89.158.51,BR,Desktop-Mac,0,457,1,0,4,60
contractor68635,45.23.78.216,NL,Mobile-iOS,1,1,0,21,4,0
guest56108,10.198.220.48,JP,Desktop-Linux,1,6,0,21,5,0
user1264,97.207.118.245,US,Desktop-Linux,1,10,0,16,2,0
user50295,10.7.243.244,ZA,Mobile-Android,1,12,0,19,5,0
user67147,10.188.3.90,MX,Mobile-iOS,1,2,0,21,5,0
employee86245,10.209.35.72,IT,Mobile-Android,1,5,0,13,4,0
admin_dev,45.230.154.103,KR,Server,0,5,1,8,3,45
contractor2841,10.152.209.183,SG,Mobile-Android,1,14,0,14,6,0
employee99187,10.83.186.66,RU,Desktop-Mac,1,8,0,10,3,15
admin_test,114.40.19.51,CN,Desktop-Linux,0,5,1,7,6,35
admin_123,158.60.8.159,IN,Desktop-Mac,0,239,1,9,3,60
contractor70180,10.71.31.45,SE,Mobile-Android,1,5,0,7,0,0
guest23751,10.232.175.107,KR,Mobile-Android,1,18,0,8,4,15
employee93167,10.170.209.168,KR,Desktop-Windows,1,7,0,14,5,15
guest85598,58.185.138.252,BR,Mobile-Android,1,7,0,12,4,0
guest71597,168.106.204.103,KR,Desktop-Linux,1,13,0,23,4,15
user96538,76.218.210.249,KR,Desktop-Windows,1,18,0,7,4,15
contractor29026,10.62.203.54,ZA,Desktop-Windows,1,3,0,1,1,0
guest59046,10.235.85.240,JP,Desktop-Windows,1,6,0,6,3,15
employee99501,10.131.114.126,SG,Desktop-Mac,1,15,0,17,2,0
employee40337,116.86.214.194,DE,Desktop-Mac,1,5,0,14,2,0
user63489,10.25.35.2,AU,Desktop-Linux,1,10,0,0,3,0
admin_dev,86.150.125.78,IN,Server,1,449,1,23,4,50
guest48743,10.254.48.141,KR,Desktop-Windows,1,4,0,19,0,15
contractor2746,10.119.22.27,IT,Mobile-Android,1,9,0,20,2,0
user81315,10.124.172.154,FR,Tablet-iOS,1,3,0,1,5,0
admin_prod,55.105.253.96,AU,Mobile-Android,0,1,1,14,6,20
user97295,10.82.233.200,SE,Mobile-Android,0,2,0,19,4,20
contractor56051,116.31.117.163,FR,Desktop-Mac,1,12,0,16,4,0
employee4209,10.135.236.173,NL,Desktop-Windows,1,2,0,21,0,0
user7179,10.171.128.195,US,Tablet-iOS,1,13,0,0,5,0
contractor84534,100.35.112.178,MX,Mobile-Android,1,17,0,11,6,0
employee87798,10.163.67.213,JP,Desktop-Mac,1,9,0,15,2,0
user0641,206.181.23.133,BR,Desktop-Mac,0,68,1,9,6,60
admin_prod,205.22.181.156,ZA,API-Client,0,276,1,20,4,70
employee19822,10.135.128.213,RU,Mobile-Android,1,13,0,12,6,15
admin_dev,182.87.95.84,CN,Mobile-Android,0,277,1,21,2,75
guest68169,10.9.57.53,CN,Desktop-Linux,1,2,0,1,3,15
admin_dev,215.219.153.145,AR,Desktop-Mac,0,171,1,7,2,60
contractor30667,10.121.88.10,ZA,Mobile-Android,1,5,0,12,3,0
contractor3283,208.173.98.120,AR,Desktop-Mac,1,1,0,18,0,0
contractor80469,59.44.40.47,RU,Desktop-Windows,1,18,0,17,2,15
user84759,204.45.97.236,MX,Tablet-Android,1,14,0,11,4,0
guest19487,10.200.140.157,DE,Desktop-Mac,1,12,0,11,0,0
employee41510,10.232.16.232,DE,Desktop-Windows,1,20,0,8,6,0
contractor10751,10.72.124.202,FR,Desktop-Mac,1,5,0,12,3,0
contractor53193,10.133.126.180,DE,Mobile-iOS,1,18,0,4,5,15
guest67545,160.110.87.17,NL,Desktop-Linux,1,10,0,3,6,15
admin_prod,186.224.90.39,RU,API-Client,1,2,1,1,6,25
admin_prod,119.189.179.28,IT,Tablet-iOS,0,255,1,11,4,60
user65740,3.253.111.74,GB,Mobile-Android,1,10,0,7,1,0
guest18242,179.227.18.90,SE,Mobile-Android,1,17,0,16,0,0
user0556,185.43.230.199,SE,Server,0,395,1,9,6,70
employee70917,10.152.4.53,GB,Desktop-Mac,1,14,0,20,5,0
contractor89942,116.1.13.108,JP,Desktop-Windows,1,3,0,19,3,0
user14728,210.46.38.98,RU,Desktop-Windows,1,15,0,22,2,15
admin_prod,30.75.227.234,CN,Server,0,3,1,9,0,45
admin_prod,156.50.121.249,ES,Desktop-Linux,0,81,1,20,5,60
user10272,10.75.52.35,IT,Desktop-Mac,1,11,0,19,0,0
employee26567,10.108.48.178,RU,Desktop-Windows,1,2,0,10,4,15
employee89555,10.6.180.133,JP,Desktop-Windows,1,5,0,21,3,0
employee17397,10.213.220.35,US,Desktop-Linux,1,2,0,15,6,0
employee45168,10.129.57.116,NL,Desktop-Mac,1,17,0,5,6,15
contractor98182,10.46.189.98,NL,Mobile-iOS,1,17,0,11,1,0
admin_123,192.189.35.235,RU,API-Client,0,466,1,21,5,85
admin_dev,112.175.166.245,AR,Desktop-Linux,0,244,1,4,5,75
admin_dev,185.231.25.25,CN,Desktop-Linux,0,190,1,8,3,75
guest28227,10.94.101.23,MX,Mobile-iOS,1,18,0,2,5,15
guest52329,10.181.118.7,GB,Tablet-iOS,1,11,0,3,2,15
admin_dev,93.106.92.200,CN,API-Client,0,253,1,14,1,85
employee74020,8.46.76.69,AR,Mobile-Android,1,5,0,17,1,0
user18886,10.193.111.211,US,Desktop-Linux,1,20,0,4,3,15
contractor84895,201.40.7.187,SG,Desktop-Windows,1,1,0,23,0,0
guest60067,197.192.87.181,GB,Desktop-Mac,1,8,0,20,1,0
admin_test,45.68.245.225,BR,Desktop-Windows,0,113,1,13,6,60
user24910,10.62.51.190,ES,Desktop-Linux,1,9,0,15,3,0
employee56853,117.224.152.203,AR,Desktop-Windows,1,15,0,15,0,0
guest47363,10.94.254.217,IT,Mobile-Android,1,14,0,4,0,15
employee57380,10.33.212.182,SE,Desktop-Windows,1,3,0,14,0,0
contractor49825,10.73.177.126,SG,Mobile-Android,1,1,0,1,5,0
contractor42101,10.20.198.89,IN,Desktop-Mac,1,13,0,2,0,15
contractor54163,10.51.179.204,KR,Desktop-Mac,1,18,0,16,4,15
guest50524,10.114.56.161,SG,Mobile-iOS,1,13,0,18,4,0
contractor93613,36.212.218.170,RU,Tablet-iOS,0,8,0,2,6,50
admin_dev,220.125.78.29,RU,Desktop-Linux,0,4,1,8,4,35
contractor17032,10.176.99.214,DE,Tablet-Android,0,5,0,17,1,20
contractor83991,202.255.246.218,ES,Desktop-Linux,1,20,0,16,2,0
contractor67628,10.181.144.135,AU,Desktop-Windows,0,2,0,5,3,35
contractor87669,206.173.212.123,ES,Mobile-Android,1,8,0,9,3,0
guest77914,10.193.108.93,GB,Desktop-Mac,1,18,0,19,3,0
guest65885,10.80.41.200,CA,Mobile-Android,1,6,0,19,4,0
user87780,10.227.177.242,NL,Desktop-Windows,1,10,0,23,4,0
guest48617,10.101.64.71,NL,Desktop-Windows,1,14,0,22,4,0
user47647,204.20.6.39,ES,Tablet-iOS,0,11,0,12,3,20
employee78570,124.15.74.125,BR,Desktop-Mac,1,12,0,11,0,0
guest24722,10.13.29.185,IN,Mobile-iOS,1,13,0,20,6,0
user92049,10.118.187.97,JP,Desktop-Mac,1,17,0,18,3,0
guest79119,10.34.179.246,RU,Tablet-Android,1,10,0,6,1,30
employee76689,10.235.239.211,GB,Desktop-Linux,1,12,0,6,0,15
contractor22211,10.74.234.140,MX,Desktop-Windows,1,13,0,18,6,0
contractor47726,10.172.25.84,ES,Mobile-iOS,1,4,0,21,1,0
user0898,166.63.194.145,RU,Mobile-iOS,0,88,1,8,2,75
admin_prod,198.79.201.89,RU,API-Client,0,322,1,15,6,85
contractor41243,10.28.85.177,SE,Desktop-Linux,1,6,0,23,0,0
contractor81168,80.108.228.130,NL,Desktop-Windows,1,10,0,10,0,0
employee32478,10.210.42.42,NL,Desktop-Windows,0,9,0,10,0,20
employee5091,10.214.176.54,AR,Mobile-Android,1,18,0,23,1,0
admin_123,110.200.198.44,MX,Desktop-Linux,0,436,1,10,2,60
user85318,10.207.48.184,GB,Desktop-Windows,0,10,0,19,6,20
guest17762,10.70.231.251,RU,Desktop-Windows,1,12,0,7,2,15
contractor24693,10.241.43.130,BR,Tablet-Android,1,1,0,10,6,0
guest17200,36.55.83.206,FR,Desktop-Linux,1,12,0,5,3,15
user0959,192.252.188.21,FR,Desktop-Linux,0,2,1,6,6,35
user0767,185.244.43.111,CN,Desktop-Linux,0,205,1,2,2,90
guest85668,10.140.76.225,IT,Mobile-Android,1,2,0,0,2,0
admin_dev,183.182.184.20,MX,Desktop-Mac,0,3,1,14,4,20
guest61363,10.142.31.251,IN,Mobile-iOS,1,20,0,9,3,0
contractor90981,10.46.32.86,GB,Desktop-Windows,1,16,0,5,6,15
guest46282,10.87.144.73,ZA,Tablet-iOS,1,7,0,5,6,15
contractor17384,10.193.166.241,JP,Desktop-Mac,1,1,0,8,4,0
employee13881,10.12.63.139,AU,Tablet-Android,1,8,0,2,1,15
user15286,10.181.32.189,AR,Desktop-Linux,1,14,0,20,6,0
guest71429,10.132.21.57,MX,Desktop-Windows,1,8,0,6,1,15
user39824,10.123.46.159,JP,Desktop-Mac,1,4,0,16,2,0
employee9213,10.252.109.112,CA,Tablet-iOS,1,12,0,2,2,15
admin_dev,192.53.213.87,CN,Desktop-Linux,0,143,1,18,6,75
contractor34209,105.226.149.7,CN,Mobile-Android,1,10,0,18,4,15
employee52221,10.211.175.78,AR,Mobile-iOS,1,19,0,7,3,0
employee20347,173.75.89.140,KR,Mobile-Android,1,2,0,12,6,15
user77764,10.31.21.81,IN,Desktop-Windows,1,18,0,17,6,0
contractor91694,10.86.178.193,MX,Desktop-Mac,1,6,0,7,5,0
contractor51974,10.18.211.72,NL,Desktop-Windows,1,20,0,16,3,0
user57152,10.177.211.162,GB,Mobile-iOS,1,16,0,0,3,0
user88235,98.0.140.80,MX,Desktop-Mac,1,10,0,8,4,0
contractor35107,10.216.133.193,US,Mobile-Android,1,9,0,13,0,0
